PO Number,Line Number,Product Primary Key,Item Name,Category,Subcategory,Unit of Measure,Quantity Ordered,Unit Price,Extended Price,Discount Amount,Net Purchase Amount
PO-00042,6,NAB-002,Diet Coke Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,10,59.62,596.2,0.0,596.2
PO-00042,7,LIQ-010,Worcestershire Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,2,18.1,36.2,0.0,36.2
PO-00042,8,FRZ-028,"Yogurt, Plain",Frozen/Refrigerated Goods,Dairy,5 lb tub,9,14.36,129.24,0.0,129.24
PO-00043,1,PRD-029,"Salmon Fillet, Fresh",Produce & Meat,Seafood,case,5,13.09,65.45,0.0,65.45
PO-00043,2,FRZ-022,"Eggs, Large",Frozen/Refrigerated Goods,Dairy,case of 15 dz,8,52.29,418.32,29.24,389.08
PO-00043,3,PRD-010,Lemons,Produce & Meat,Produce,case of 165,2,37.56,75.12,0.0,75.12
PO-00043,4,NAB-026,Tomato Juice,Non-Alcoholic Beverage,Juice,46 oz can,3,4.58,13.74,0.0,13.74
PO-00043,5,FRZ-002,Frozen Corn,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,9,24.74,222.66,0.0,222.66
PO-00043,6,SUP-021,"Disposable Gloves, Nitrile",Supplies,Gloves,case of 1000,7,57.91,405.37,0.0,405.37
PO-00044,1,LIQ-006,Balsamic Vinegar,Liquids/Pastes/Sauces,Vinegar,1 gal jug,10,26.39,263.9,0.0,263.9
PO-00044,2,ALC-002,Craft IPA Keg,Alcoholic Beverage,Beer,1/6 barrel keg,1,113.53,113.53,0.0,113.53
PO-00044,3,SUP-006,"Straws, Wrapped",Supplies,Disposable,box of 500,5,9.82,49.1,1.79,47.31
PO-00044,4,FRZ-018,Cream Cheese,Frozen/Refrigerated Goods,Dairy,3 lb block,6,12.53,75.18,0.0,75.18
PO-00044,5,PRD-021,"Ground Beef, 80/20",Produce & Meat,Meat,case,3,4.93,14.79,0.0,14.79
PO-00044,6,FRZ-015,Shredded Mozzarella,Frozen/Refrigerated Goods,Dairy,5 lb bag,3,18.55,55.65,0.0,55.65
PO-00044,7,LIQ-018,Garlic Paste,Liquids/Pastes/Sauces,Paste,4 lb tub,2,16.61,33.22,0.0,33.22
PO-00045,1,DRY-005,Jasmine Rice,Dry Goods & Spices,Grain,50 lb bag,1,34.27,34.27,0.0,34.27
PO-00045,2,PRD-016,Jalapeños,Produce & Meat,Produce,10 lb case,1,18.37,18.37,0.0,18.37
PO-00045,3,DRY-007,"Spaghetti, Dry",Dry Goods & Spices,Pasta,20 lb case,7,20.36,142.52,0.0,142.52
PO-00045,4,PRD-027,Ribeye Steak,Produce & Meat,Meat,case,5,19.28,96.4,0.0,96.4
PO-00045,5,PRD-008,Avocados,Produce & Meat,Produce,case of 48,6,66.43,398.58,0.0,398.58
PO-00046,1,LIQ-025,"Beef Stock, Liquid",Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,4,16.32,65.28,0.0,65.28
PO-00046,2,ALC-003,"Mexican Lager, Bottled",Alcoholic Beverage,Beer,case of 24,5,41.03,205.15,0.0,205.15
PO-00046,3,NAB-003,Sprite Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,7,65.16,456.12,0.0,456.12
PO-00046,4,DRY-010,"Pinto Beans, Dry",Dry Goods & Spices,Legume,25 lb bag,4,21.73,86.92,0.0,86.92
PO-00047,1,FRZ-018,Cream Cheese,Frozen/Refrigerated Goods,Dairy,3 lb block,7,12.3,86.1,0.0,86.1
PO-00047,2,LIQ-026,"Vegetable Stock, Liquid",Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,6,16.6,99.6,0.0,99.6
PO-00047,3,FRZ-029,Frozen Diced Onions,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,8,27.6,220.8,0.0,220.8
PO-00048,1,ALC-013,"Vodka, Premium",Alcoholic Beverage,Spirits,1L bottle,3,32.16,96.48,5.6,90.88
PO-00048,2,FRZ-008,"Dinner Rolls, Par-Baked",Frozen/Refrigerated Goods,Frozen Bread,case of 200,4,39.41,157.64,0.0,157.64
PO-00048,3,SUP-006,"Straws, Wrapped",Supplies,Disposable,box of 500,3,9.52,28.56,0.0,28.56
PO-00048,4,DRY-001,All-Purpose Flour,Dry Goods & Spices,Flour,50 lb bag,4,21.74,86.96,0.0,86.96
PO-00048,5,PRD-014,"Mushrooms, White Button",Produce & Meat,Produce,10 lb case,2,32.36,64.72,0.0,64.72
PO-00048,6,DRY-013,Powdered Sugar,Dry Goods & Spices,Sugar,25 lb bag,8,21.42,171.36,0.0,171.36
PO-00049,1,SUP-008,"Plastic Cutlery, Spoons",Supplies,Disposable,box of 1000,9,16.47,148.23,7.07,141.16
PO-00049,2,LIQ-016,"Vinaigrette, Balsamic",Liquids/Pastes/Sauces,Sauce,1 gal jug,6,20.52,123.12,0.0,123.12
PO-00049,3,ALC-026,"Stout, Bottled",Alcoholic Beverage,Beer,case of 24,2,42.09,84.18,0.0,84.18
PO-00049,4,PRD-024,Pork Shoulder,Produce & Meat,Meat,case,8,3.76,30.08,0.0,30.08
PO-00049,5,ALC-015,"Tequila, Blanco Premium",Alcoholic Beverage,Spirits,1L bottle,1,36.16,36.16,0.0,36.16
PO-00049,6,LIQ-007,Rice Wine Vinegar,Liquids/Pastes/Sauces,Vinegar,1 gal jug,4,20.51,82.04,0.0,82.04
PO-00050,1,NAB-029,Half & Half,Non-Alcoholic Beverage,Milk/Dairy Bev,quart,9,5.0,45.0,0.0,45.0
PO-00050,2,LIQ-024,"Chicken Stock, Liquid",Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,6,15.11,90.66,0.0,90.66
PO-00050,3,PRD-012,Carrots,Produce & Meat,Produce,25 lb bag,6,24.36,146.16,0.0,146.16
PO-00050,4,ALC-017,"Bourbon, Well",Alcoholic Beverage,Spirits,1.75L bottle,6,28.65,171.9,4.41,167.49
PO-00050,5,NAB-028,Cold Brew Concentrate,Non-Alcoholic Beverage,Coffee,gallon,5,20.89,104.45,0.0,104.45
PO-00050,6,ALC-022,"Scotch, Blended",Alcoholic Beverage,Spirits,750ml bottle,10,30.58,305.8,0.0,305.8
PO-00050,7,PRD-015,Cilantro,Produce & Meat,Produce,case of 30 bunches,10,23.73,237.3,0.0,237.3
PO-00050,8,FRZ-006,Tater Tots,Frozen/Refrigerated Goods,Frozen Potato,30 lb case,5,32.25,161.25,0.0,161.25
PO-00051,1,ALC-015,"Tequila, Blanco Premium",Alcoholic Beverage,Spirits,1L bottle,4,33.93,135.72,0.0,135.72
PO-00051,2,LIQ-029,Sriracha,Liquids/Pastes/Sauces,Sauce,1 gal jug,4,24.0,96.0,0.0,96.0
PO-00051,3,PRD-001,Romaine Lettuce,Produce & Meat,Produce,case of 24 heads,2,32.87,65.74,0.0,65.74
PO-00051,4,FRZ-022,"Eggs, Large",Frozen/Refrigerated Goods,Dairy,case of 15 dz,9,55.73,501.57,0.0,501.57
PO-00051,5,FRZ-030,"Pie Crust, Frozen 9in",Frozen/Refrigerated Goods,Frozen Dessert,case of 24,9,33.76,303.84,12.22,291.62
PO-00051,6,FRZ-007,"Hash Browns, Shredded",Frozen/Refrigerated Goods,Frozen Potato,20 lb case,3,28.37,85.11,0.0,85.11
PO-00051,7,NAB-010,Lemon Juice (bottled),Non-Alcoholic Beverage,Juice,32 oz bottle,3,4.49,13.47,0.0,13.47
PO-00051,8,SUP-005,"Napkins, Dinner",Supplies,Disposable,case of 3000,3,33.43,100.29,0.0,100.29
PO-00052,1,SUP-010,"Dish Soap, Concentrate",Supplies,Cleaning,1 gal jug,4,26.63,106.52,0.0,106.52
PO-00052,2,FRZ-015,Shredded Mozzarella,Frozen/Refrigerated Goods,Dairy,5 lb bag,8,19.58,156.64,0.0,156.64
PO-00052,3,FRZ-020,Heavy Cream,Frozen/Refrigerated Goods,Dairy,quart,7,4.98,34.86,0.0,34.86
PO-00052,4,LIQ-003,Vegetable Oil,Liquids/Pastes/Sauces,Oil,35 lb jug,3,38.73,116.19,0.0,116.19
PO-00052,5,SUP-029,Aluminum Steam Table Pans,Supplies,Small Wares,case of 50,3,57.58,172.74,0.0,172.74
PO-00053,1,SUP-016,"Toilet Paper, Roll",Supplies,Paper Goods,case of 48,9,42.72,384.48,17.78,366.7
PO-00053,2,ALC-024,Coffee Liqueur,Alcoholic Beverage,Liqueur,750ml bottle,4,26.86,107.44,0.0,107.44
PO-00053,3,DRY-017,"Cumin, Ground",Dry Goods & Spices,Spice,1 lb bag,1,13.7,13.7,0.0,13.7
PO-00053,4,ALC-018,"Bourbon, Premium",Alcoholic Beverage,Spirits,750ml bottle,6,43.49,260.94,0.0,260.94
PO-00053,5,PRD-025,"Bacon, Sliced",Produce & Meat,Meat,15 lb case,6,73.54,441.24,0.0,441.24
PO-00053,6,DRY-008,"Penne, Dry",Dry Goods & Spices,Pasta,20 lb case,2,18.1,36.2,0.0,36.2
PO-00053,7,DRY-016,"Paprika, Smoked",Dry Goods & Spices,Spice,1 lb bag,3,10.15,30.45,1.13,29.32
PO-00054,1,FRZ-017,"Parmesan, Grated",Frozen/Refrigerated Goods,Dairy,5 lb bag,10,34.54,345.4,0.0,345.4
PO-00054,2,DRY-020,Onion Powder,Dry Goods & Spices,Spice,1 lb bag,5,8.95,44.75,0.0,44.75
PO-00054,3,DRY-003,Cornmeal,Dry Goods & Spices,Flour,25 lb bag,4,16.27,65.08,0.0,65.08
PO-00055,1,FRZ-020,Heavy Cream,Frozen/Refrigerated Goods,Dairy,quart,10,5.02,50.2,0.0,50.2
PO-00055,2,LIQ-024,"Chicken Stock, Liquid",Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,2,15.9,31.8,0.0,31.8
PO-00055,3,NAB-019,Gatorade Fruit Punch,Non-Alcoholic Beverage,Energy/Sports,case of 24,9,21.51,193.59,0.0,193.59
PO-00055,4,ALC-026,"Stout, Bottled",Alcoholic Beverage,Beer,case of 24,9,45.21,406.89,0.0,406.89
PO-00055,5,FRZ-012,"Cheesecake, Uncut",Frozen/Refrigerated Goods,Frozen Dessert,10 inch,8,19.47,155.76,6.73,149.03
PO-00055,6,NAB-009,Pineapple Juice,Non-Alcoholic Beverage,Juice,46 oz can,1,4.34,4.34,0.0,4.34
PO-00055,7,LIQ-010,Worcestershire Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,4,16.82,67.28,0.0,67.28
PO-00056,1,SUP-021,"Disposable Gloves, Nitrile",Supplies,Gloves,case of 1000,3,55.13,165.39,11.01,154.38
PO-00056,2,FRZ-025,Frozen Salmon Fillets,Frozen/Refrigerated Goods,Frozen Protein,10 lb box,5,96.69,483.45,0.0,483.45
PO-00056,3,LIQ-016,"Vinaigrette, Balsamic",Liquids/Pastes/Sauces,Sauce,1 gal jug,1,22.15,22.15,0.0,22.15
PO-00056,4,SUP-020,Aluminum Foil Roll,Supplies,Wrap/Film,roll,7,29.92,209.44,0.0,209.44
PO-00057,1,FRZ-018,Cream Cheese,Frozen/Refrigerated Goods,Dairy,3 lb block,3,12.01,36.03,0.0,36.03
PO-00057,2,DRY-019,Garlic Powder,Dry Goods & Spices,Spice,1 lb bag,9,8.43,75.87,0.0,75.87
PO-00057,3,NAB-022,"Almond Milk, Unsweetened",Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,7,4.09,28.63,1.61,27.02
PO-00057,4,FRZ-019,"Butter, Unsalted",Frozen/Refrigerated Goods,Dairy,36 lb case,9,113.95,1025.55,0.0,1025.55
PO-00057,5,FRZ-029,Frozen Diced Onions,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,6,25.37,152.22,0.0,152.22
PO-00057,6,FRZ-028,"Yogurt, Plain",Frozen/Refrigerated Goods,Dairy,5 lb tub,10,13.88,138.8,0.0,138.8
PO-00057,7,FRZ-030,"Pie Crust, Frozen 9in",Frozen/Refrigerated Goods,Frozen Dessert,case of 24,8,31.58,252.64,0.0,252.64
PO-00057,8,PRD-019,"Basil, Fresh",Produce & Meat,Produce,case of 12 bunches,6,22.76,136.56,0.0,136.56
PO-00058,1,SUP-007,"Plastic Cutlery, Forks",Supplies,Disposable,box of 1000,3,18.89,56.67,3.78,52.89
PO-00058,2,LIQ-022,Diced Tomatoes,Liquids/Pastes/Sauces,Canned Tomato,#10 can,7,8.5,59.5,0.0,59.5
PO-00058,3,PRD-007,"Bell Peppers, Red",Produce & Meat,Produce,25 lb case,3,40.25,120.75,0.0,120.75
PO-00058,4,PRD-028,Ground Pork,Produce & Meat,Meat,case,6,4.04,24.24,0.0,24.24
PO-00059,1,LIQ-015,Caesar Dressing,Liquids/Pastes/Sauces,Sauce,1 gal jug,8,19.63,157.04,0.0,157.04
PO-00059,2,DRY-006,Quinoa,Dry Goods & Spices,Grain,10 lb bag,2,30.74,61.48,0.0,61.48
PO-00059,3,ALC-027,Non-Alcoholic Beer,Alcoholic Beverage,Beer,case of 24,8,34.36,274.88,0.0,274.88
PO-00059,4,NAB-021,Oat Milk,Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,8,5.94,47.52,0.0,47.52
PO-00059,5,NAB-011,Lime Juice (bottled),Non-Alcoholic Beverage,Juice,32 oz bottle,2,4.12,8.24,0.0,8.24
PO-00060,1,DRY-029,Sesame Seeds,Dry Goods & Spices,Nuts/Seeds,5 lb bag,4,19.96,79.84,0.0,79.84
PO-00060,2,SUP-027,Hand Sanitizer,Supplies,Chemical,1 gal jug,8,19.64,157.12,8.37,148.75
PO-00060,3,ALC-025,Amaretto,Alcoholic Beverage,Liqueur,750ml bottle,9,21.24,191.16,13.97,177.19
PO-00060,4,LIQ-027,Marinara Sauce,Liquids/Pastes/Sauces,Sauce,#10 can,7,12.71,88.97,0.0,88.97
PO-00060,5,SUP-015,"Paper Towels, Roll",Supplies,Paper Goods,case of 12,9,42.23,380.07,0.0,380.07
PO-00060,6,FRZ-001,Frozen Peas,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,10,24.82,248.2,19.44,228.76
PO-00060,7,LIQ-008,Soy Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,8,12.87,102.96,0.0,102.96
PO-00061,1,PRD-003,"Tomatoes, Roma",Produce & Meat,Produce,25 lb case,6,35.39,212.34,0.0,212.34
PO-00061,2,NAB-018,Red Bull 8.4oz,Non-Alcoholic Beverage,Energy/Sports,case of 24,9,35.92,323.28,0.0,323.28
PO-00061,3,ALC-002,Craft IPA Keg,Alcoholic Beverage,Beer,1/6 barrel keg,5,115.8,579.0,0.0,579.0
PO-00061,4,SUP-026,Hand Soap,Supplies,Chemical,1 gal jug,5,16.98,84.9,3.24,81.66
PO-00061,5,ALC-006,"Cabernet Sauvignon, House Red",Alcoholic Beverage,Wine,case of 12,9,82.4,741.6,0.0,741.6
PO-00061,6,FRZ-021,Sour Cream,Frozen/Refrigerated Goods,Dairy,5 lb tub,10,15.46,154.6,0.0,154.6
PO-00062,1,SUP-003,"To-Go Cup Lids, Dome",Supplies,To-Go,case of 1000,5,32.75,163.75,0.0,163.75
PO-00062,2,NAB-014,"Decaf Coffee, Medium Roast",Non-Alcoholic Beverage,Coffee,2 lb bag,7,18.87,132.09,0.0,132.09
PO-00062,3,SUP-030,"Menu Paper, Cardstock",Supplies,Menu/Marketing,ream of 500,1,19.29,19.29,0.0,19.29
PO-00062,4,LIQ-002,"Olive Oil, Extra Virgin",Liquids/Pastes/Sauces,Oil,3 L tin,8,26.0,208.0,0.0,208.0
PO-00063,1,LIQ-001,Canola Oil,Liquids/Pastes/Sauces,Oil,35 lb jug,5,42.45,212.25,0.0,212.25
PO-00063,2,LIQ-009,Hot Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,1,22.85,22.85,0.0,22.85
PO-00063,3,NAB-012,"Espresso Beans, Dark Roast",Non-Alcoholic Beverage,Coffee,5 lb bag,10,42.35,423.5,0.0,423.5
PO-00063,4,ALC-028,"Champagne, Brut",Alcoholic Beverage,Wine,case of 6,3,122.87,368.61,0.0,368.61
PO-00063,5,ALC-008,Pinot Noir,Alcoholic Beverage,Wine,case of 12,6,136.64,819.84,0.0,819.84
PO-00064,1,NAB-011,Lime Juice (bottled),Non-Alcoholic Beverage,Juice,32 oz bottle,6,4.16,24.96,0.92,24.04
PO-00064,2,NAB-017,Herbal Chamomile Tea Bags,Non-Alcoholic Beverage,Tea,box of 100,8,16.8,134.4,0.0,134.4
PO-00064,3,FRZ-002,Frozen Corn,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,2,23.32,46.64,0.0,46.64
PO-00064,4,FRZ-010,Vanilla Ice Cream,Frozen/Refrigerated Goods,Frozen Dessert,3 gal tub,6,27.12,162.72,0.0,162.72
PO-00064,5,FRZ-005,"French Fries, Straight Cut",Frozen/Refrigerated Goods,Frozen Potato,30 lb case,7,33.02,231.14,12.41,218.73
PO-00064,6,ALC-027,Non-Alcoholic Beer,Alcoholic Beverage,Beer,case of 24,5,34.72,173.6,8.72,164.88
PO-00065,1,FRZ-026,Mozzarella Sticks,Frozen/Refrigerated Goods,Frozen Appetizer,case of 240,6,57.96,347.76,0.0,347.76
PO-00065,2,FRZ-023,"Frozen Shrimp, 21/25",Frozen/Refrigerated Goods,Frozen Protein,5 lb bag,9,61.38,552.42,0.0,552.42
PO-00065,3,FRZ-012,"Cheesecake, Uncut",Frozen/Refrigerated Goods,Frozen Dessert,10 inch,1,18.78,18.78,0.75,18.03
PO-00066,1,FRZ-013,Frozen Mixed Berries,Frozen/Refrigerated Goods,Frozen Fruit,10 lb bag,6,35.42,212.52,0.0,212.52
PO-00066,2,LIQ-007,Rice Wine Vinegar,Liquids/Pastes/Sauces,Vinegar,1 gal jug,7,19.11,133.77,0.0,133.77
PO-00066,3,PRD-015,Cilantro,Produce & Meat,Produce,case of 30 bunches,1,24.85,24.85,0.0,24.85
PO-00066,4,LIQ-011,BBQ Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,10,16.23,162.3,0.0,162.3
PO-00066,5,FRZ-004,"Frozen Spinach, Chopped",Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,10,26.88,268.8,0.0,268.8
PO-00066,6,ALC-021,"Whiskey, Rye",Alcoholic Beverage,Spirits,750ml bottle,10,37.83,378.3,0.0,378.3
PO-00066,7,DRY-014,Kosher Salt,Dry Goods & Spices,Spice,25 lb bag,4,10.18,40.72,3.13,37.59
PO-00067,1,FRZ-007,"Hash Browns, Shredded",Frozen/Refrigerated Goods,Frozen Potato,20 lb case,1,28.79,28.79,0.0,28.79
PO-00067,2,ALC-029,Mezcal,Alcoholic Beverage,Spirits,750ml bottle,9,41.83,376.47,0.0,376.47
PO-00067,3,LIQ-021,Crushed Tomatoes,Liquids/Pastes/Sauces,Canned Tomato,#10 can,9,10.78,97.02,0.0,97.02
PO-00067,4,SUP-018,Parchment Paper Sheets,Supplies,Paper Goods,box of 1000,8,42.22,337.76,0.0,337.76
PO-00068,1,ALC-009,Sauvignon Blanc,Alcoholic Beverage,Wine,case of 12,5,105.77,528.85,0.0,528.85
PO-00068,2,FRZ-009,Pizza Dough Balls,Frozen/Refrigerated Goods,Frozen Bread,case of 40,8,40.4,323.2,0.0,323.2
PO-00068,3,ALC-014,"Gin, Well",Alcoholic Beverage,Spirits,1.75L bottle,5,21.07,105.35,0.0,105.35
PO-00068,4,NAB-029,Half & Half,Non-Alcoholic Beverage,Milk/Dairy Bev,quart,9,4.81,43.29,0.0,43.29
PO-00069,1,ALC-011,Rosé,Alcoholic Beverage,Wine,case of 12,3,90.16,270.48,17.43,253.05
PO-00069,2,PRD-023,"Chicken Thighs, Boneless",Produce & Meat,Meat,case,1,3.79,3.79,0.0,3.79
PO-00069,3,DRY-027,Panko Bread Crumbs,Dry Goods & Spices,Breading,25 lb case,4,33.89,135.56,6.07,129.49
PO-00069,4,ALC-004,"Wheat Beer, Bottled",Alcoholic Beverage,Beer,case of 24,2,33.63,67.26,0.0,67.26
PO-00069,5,PRD-028,Ground Pork,Produce & Meat,Meat,case,9,3.73,33.57,0.0,33.57
PO-00069,6,LIQ-009,Hot Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,8,22.89,183.12,0.0,183.12
PO-00069,7,SUP-009,Toothpicks,Supplies,Disposable,box of 1000,5,4.08,20.4,0.0,20.4
PO-00069,8,SUP-007,"Plastic Cutlery, Forks",Supplies,Disposable,box of 1000,2,19.29,38.58,0.0,38.58
PO-00070,1,SUP-002,"To-Go Cups, 16oz",Supplies,To-Go,case of 1000,5,66.26,331.3,0.0,331.3
PO-00070,2,FRZ-002,Frozen Corn,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,10,23.33,233.3,0.0,233.3
PO-00070,3,PRD-018,"Spinach, Fresh",Produce & Meat,Produce,4 lb case,6,20.19,121.14,0.0,121.14
PO-00071,1,DRY-023,"Cinnamon, Ground",Dry Goods & Spices,Spice,1 lb bag,4,9.11,36.44,0.0,36.44
PO-00071,2,ALC-024,Coffee Liqueur,Alcoholic Beverage,Liqueur,750ml bottle,7,26.63,186.41,0.0,186.41
PO-00071,3,NAB-003,Sprite Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,2,68.63,137.26,0.0,137.26
PO-00071,4,LIQ-013,Teriyaki Sauce,Liquids/Pastes/Sauces,Sauce,1 gal jug,3,17.51,52.53,0.0,52.53
PO-00071,5,ALC-022,"Scotch, Blended",Alcoholic Beverage,Spirits,750ml bottle,1,30.83,30.83,0.0,30.83
PO-00071,6,LIQ-025,"Beef Stock, Liquid",Liquids/Pastes/Sauces,Stock/Broth,1 gal jug,5,16.21,81.05,0.0,81.05
PO-00072,1,DRY-004,"White Rice, Long Grain",Dry Goods & Spices,Grain,50 lb bag,7,34.79,243.53,0.0,243.53
PO-00072,2,NAB-015,Black Tea Bags,Non-Alcoholic Beverage,Tea,box of 100,5,15.96,79.8,0.0,79.8
PO-00072,3,SUP-021,"Disposable Gloves, Nitrile",Supplies,Gloves,case of 1000,5,57.73,288.65,0.0,288.65
PO-00072,4,ALC-001,Domestic Draft Lager Keg,Alcoholic Beverage,Beer,1/2 barrel keg,3,110.68,332.04,0.0,332.04
PO-00072,5,FRZ-025,Frozen Salmon Fillets,Frozen/Refrigerated Goods,Frozen Protein,10 lb box,10,96.66,966.6,0.0,966.6
PO-00073,1,ALC-021,"Whiskey, Rye",Alcoholic Beverage,Spirits,750ml bottle,10,38.42,384.2,0.0,384.2
PO-00073,2,ALC-022,"Scotch, Blended",Alcoholic Beverage,Spirits,750ml bottle,8,30.72,245.76,0.0,245.76
PO-00073,3,LIQ-006,Balsamic Vinegar,Liquids/Pastes/Sauces,Vinegar,1 gal jug,9,25.39,228.51,0.0,228.51
PO-00073,4,PRD-007,"Bell Peppers, Red",Produce & Meat,Produce,25 lb case,9,42.49,382.41,0.0,382.41
PO-00073,5,DRY-023,"Cinnamon, Ground",Dry Goods & Spices,Spice,1 lb bag,1,9.59,9.59,0.0,9.59
PO-00073,6,DRY-013,Powdered Sugar,Dry Goods & Spices,Sugar,25 lb bag,4,21.51,86.04,0.0,86.04
PO-00073,7,ALC-003,"Mexican Lager, Bottled",Alcoholic Beverage,Beer,case of 24,6,38.15,228.9,0.0,228.9
PO-00074,1,NAB-024,Club Soda Canister,Non-Alcoholic Beverage,Soda,5 gal canister,7,16.37,114.59,0.0,114.59
PO-00074,2,PRD-014,"Mushrooms, White Button",Produce & Meat,Produce,10 lb case,8,34.83,278.64,0.0,278.64
PO-00074,3,NAB-021,Oat Milk,Non-Alcoholic Beverage,Milk/Dairy Bev,32 oz carton,7,6.11,42.77,3.33,39.44
PO-00074,4,SUP-025,"Deli Cups w/ Lids, 8oz",Supplies,Storage,case of 500,3,38.59,115.77,0.0,115.77
PO-00074,5,LIQ-020,"Curry Paste, Red",Liquids/Pastes/Sauces,Paste,14 oz can,3,6.16,18.48,0.0,18.48
PO-00074,6,PRD-009,Limes,Produce & Meat,Produce,case of 200,3,39.2,117.6,0.0,117.6
PO-00075,1,SUP-018,Parchment Paper Sheets,Supplies,Paper Goods,box of 1000,5,39.76,198.8,0.0,198.8
PO-00075,2,LIQ-017,Tomato Paste,Liquids/Pastes/Sauces,Paste,#10 can,2,12.7,25.4,1.51,23.89
PO-00075,3,FRZ-029,Frozen Diced Onions,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,1,26.72,26.72,0.0,26.72
PO-00075,4,SUP-019,Plastic Wrap Roll,Supplies,Wrap/Film,roll,10,19.08,190.8,10.66,180.14
PO-00075,5,FRZ-028,"Yogurt, Plain",Frozen/Refrigerated Goods,Dairy,5 lb tub,1,14.44,14.44,0.0,14.44
PO-00075,6,DRY-009,"Black Beans, Dry",Dry Goods & Spices,Legume,25 lb bag,8,21.46,171.68,0.0,171.68
PO-00075,7,PRD-019,"Basil, Fresh",Produce & Meat,Produce,case of 12 bunches,1,23.18,23.18,1.85,21.33
PO-00075,8,FRZ-030,"Pie Crust, Frozen 9in",Frozen/Refrigerated Goods,Frozen Dessert,case of 24,10,31.8,318.0,0.0,318.0
PO-00076,1,DRY-016,"Paprika, Smoked",Dry Goods & Spices,Spice,1 lb bag,3,10.24,30.72,0.0,30.72
PO-00076,2,NAB-004,Ginger Ale Syrup BIB,Non-Alcoholic Beverage,Soda,5 gal bag-in-box,8,66.32,530.56,21.58,508.98
PO-00076,3,FRZ-022,"Eggs, Large",Frozen/Refrigerated Goods,Dairy,case of 15 dz,7,54.95,384.65,0.0,384.65
PO-00076,4,FRZ-026,Mozzarella Sticks,Frozen/Refrigerated Goods,Frozen Appetizer,case of 240,7,56.59,396.13,0.0,396.13
PO-00076,5,SUP-017,Butcher Paper Roll,Supplies,Paper Goods,roll,3,30.15,90.45,0.0,90.45
PO-00077,1,PRD-006,"Bell Peppers, Green",Produce & Meat,Produce,25 lb case,6,38.38,230.28,0.0,230.28
PO-00077,2,SUP-011,"Degreaser, Kitchen",Supplies,Cleaning,1 gal jug,6,21.86,131.16,8.33,122.83
PO-00077,3,PRD-030,"Shrimp, Fresh 16/20",Produce & Meat,Seafood,case,5,11.46,57.3,0.0,57.3
PO-00077,4,DRY-003,Cornmeal,Dry Goods & Spices,Flour,25 lb bag,1,17.09,17.09,0.0,17.09
PO-00077,5,LIQ-019,Ginger Paste,Liquids/Pastes/Sauces,Paste,4 lb tub,10,17.61,176.1,0.0,176.1
PO-00077,6,ALC-005,Light Lager Draft Keg,Alcoholic Beverage,Beer,1/2 barrel keg,8,95.15,761.2,0.0,761.2
PO-00078,1,SUP-016,"Toilet Paper, Roll",Supplies,Paper Goods,case of 48,10,44.72,447.2,0.0,447.2
PO-00078,2,SUP-027,Hand Sanitizer,Supplies,Chemical,1 gal jug,4,19.96,79.84,0.0,79.84
PO-00078,3,FRZ-017,"Parmesan, Grated",Frozen/Refrigerated Goods,Dairy,5 lb bag,7,35.32,247.24,0.0,247.24
PO-00079,1,SUP-017,Butcher Paper Roll,Supplies,Paper Goods,roll,6,31.58,189.48,0.0,189.48
PO-00079,2,SUP-004,"Paper Bags, Kraft",Supplies,To-Go,case of 500,7,32.18,225.26,16.18,209.08
PO-00079,3,LIQ-023,Tomato Puree,Liquids/Pastes/Sauces,Canned Tomato,#10 can,1,8.35,8.35,0.0,8.35
PO-00080,1,FRZ-001,Frozen Peas,Frozen/Refrigerated Goods,Frozen Vegetable,20 lb case,8,24.64,197.12,0.0,197.12
PO-00080,2,FRZ-009,Pizza Dough Balls,Frozen/Refrigerated Goods,Frozen Bread,case of 40,8,40.15,321.2,0.0,321.2
PO-00080,3,LIQ-020,"Curry Paste, Red",Liquids/Pastes/Sauces,Paste,14 oz can,6,6.41,38.46,0.0,38.46
